Start	Duration	Audio I/O Thread	Client Process	Input Sample Time	Input Host Time	Output Sample Time	Output Host Time	
00:05.944.822	181.75 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	152,292	6488904949406	154,340	6488906063963	
00:05.968.042	172.12 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	153,316	6488905506684	155,364	6488906621242	
00:05.991.250	136.88 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	154,340	6488906063963	156,388	6488907178520	
00:06.014.544	221.08 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	155,364	6488906621242	157,412	6488907735799	
00:06.037.687	124.96 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	156,388	6488907178520	158,436	6488908293078	
00:06.060.930	196.33 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	157,412	6488907735799	159,460	6488908850356	
00:06.084.150	120.67 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	158,436	6488908293078	160,484	6488909407635	
00:06.107.379	224.38 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	159,460	6488908850356	161,508	6488909964914	
00:06.130.589	234.46 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	160,484	6488909407635	162,532	6488910522192	
00:06.153.811	201.29 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	161,508	6488909964914	163,556	6488911079471	
00:06.177.040	230.88 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	162,532	6488910522192	164,580	6488911636749	
00:06.200.275	215.17 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	163,556	6488911079471	165,604	6488912194028	
00:06.223.496	194.75 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	164,580	6488911636749	166,628	6488912751307	
00:06.246.677	170.71 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	165,604	6488912194028	167,652	6488913308585	
00:06.269.908	187.17 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	166,628	6488912751307	168,676	6488913865864	
00:06.293.118	174.79 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	167,652	6488913308585	169,700	6488914423143	
00:06.316.355	134.00 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	168,676	6488913865864	170,724	6488914980421	
00:06.339.595	154.12 µs	audio IO: AC-BF-71-0C-C7-23:output 0x50f1c9	bevy-hrtf-demo (73605)	169,700	6488914423143	171,748	6488915537700	
